country,year,age,rate
Albania,1987,15-24 years,4.83
Albania,1987,75+ years,2.81
Albania,1987,35-54 years,2.15
Albania,1987,25-34 years,1.56
Albania,1987,5-14 years,0.0
Albania,1987,55-74 years,0.0
Albania,1988,75+ years,5.49
Albania,1988,15-24 years,2.71
Albania,1988,55-74 years,2.03
Albania,1988,25-34 years,1.91
Albania,1988,35-54 years,1.41
Albania,1988,5-14 years,0.0
Albania,1989,35-54 years,2.43
Albania,1989,15-24 years,1.67
Albania,1989,25-34 years,0.75
Albania,1989,55-74 years,0.67
Albania,1989,5-14 years,0.0
Albania,1989,75+ years,0.0
Albania,1992,15-24 years,2.39
Albania,1992,25-34 years,1.5
Albania,1992,35-54 years,0.62
Albania,1992,55-74 years,0.61
Albania,1992,5-14 years,0.0
Albania,1992,75+ years,0.0
Albania,1993,15-24 years,3.51
Albania,1993,25-34 years,2.67
Albania,1993,35-54 years,2.11
Albania,1993,55-74 years,1.18
Albania,1993,5-14 years,0.29
Albania,1993,75+ years,0.0
Albania,1994,75+ years,5.01
Albania,1994,15-24 years,2.12
Albania,1994,25-34 years,1.53
Albania,1994,35-54 years,0.58
Albania,1994,55-74 years,0.57
Albania,1994,5-14 years,0.0
Albania,1995,75+ years,4.9
Albania,1995,15-24 years,4.59
Albania,1995,25-34 years,2.65
Albania,1995,35-54 years,2.24
Albania,1995,55-74 years,1.11
Albania,1995,5-14 years,0.57
Albania,1996,15-24 years,5.56
Albania,1996,75+ years,4.85
Albania,1996,25-34 years,3.73
Albania,1996,35-54 years,2.49
Albania,1996,55-74 years,0.55
Albania,1996,5-14 years,0.28
Albania,1997,15-24 years,7.14
Albania,1997,25-34 years,5.84
Albania,1997,75+ years,4.75
Albania,1997,35-54 years,1.89
Albania,1997,5-14 years,1.66
Albania,1997,55-74 years,0.0
Albania,1998,15-24 years,10.83
Albania,1998,25-34 years,3.63
Albania,1998,55-74 years,3.19
Albania,1998,35-54 years,2.42
Albania,1998,5-14 years,0.27
Albania,1998,75+ years,0.0
Albania,1999,75+ years,9.43
