country,year,age,rate
Albania,1987,15-24 years,6.71
Albania,1987,35-54 years,5.19
Albania,1987,75+ years,4.59
Albania,1987,25-34 years,3.28
Albania,1987,55-74 years,0.73
Albania,1987,5-14 years,0.0
Albania,1988,15-24 years,5.33
Albania,1988,75+ years,4.48
Albania,1988,35-54 years,4.46
Albania,1988,55-74 years,2.85
Albania,1988,25-34 years,1.79
Albania,1988,5-14 years,0.0
Albania,1989,75+ years,8.89
Albania,1989,25-34 years,6.35
Albania,1989,35-54 years,4.71
Albania,1989,55-74 years,4.22
Albania,1989,15-24 years,3.71
Albania,1989,5-14 years,0.0
Albania,1992,35-54 years,3.49
Albania,1992,15-24 years,3.41
Albania,1992,55-74 years,3.13
Albania,1992,25-34 years,2.85
Albania,1992,5-14 years,0.0
Albania,1992,75+ years,0.0
Albania,1993,15-24 years,7.4
Albania,1993,55-74 years,4.24
Albania,1993,75+ years,4.13
Albania,1993,25-34 years,3.91
Albania,1993,35-54 years,2.85
Albania,1993,5-14 years,0.27
Albania,1994,75+ years,8.13
Albania,1994,55-74 years,6.42
Albania,1994,25-34 years,2.59
Albania,1994,35-54 years,2.48
Albania,1994,15-24 years,2.48
Albania,1994,5-14 years,0.27
Albania,1995,25-34 years,5.58
Albania,1995,55-74 years,5.06
Albania,1995,15-24 years,4.56
Albania,1995,75+ years,3.98
Albania,1995,35-54 years,3.72
Albania,1995,5-14 years,1.59
Albania,1996,75+ years,7.87
Albania,1996,15-24 years,6.98
Albania,1996,25-34 years,5.95
Albania,1996,35-54 years,3.16
Albania,1996,55-74 years,1.67
Albania,1996,5-14 years,0.53
Albania,1997,25-34 years,15.25
Albania,1997,15-24 years,13.5
Albania,1997,75+ years,11.81
Albania,1997,35-54 years,7.88
Albania,1997,55-74 years,6.66
Albania,1997,5-14 years,1.05
Albania,1998,75+ years,11.63
Albania,1998,15-24 years,10.85
Albania,1998,25-34 years,10.82
Albania,1998,35-54 years,7.47
Albania,1998,55-74 years,4.9
Albania,1998,5-14 years,0.51
Albania,1999,75+ years,11.58
Albania,1999,15-24 years,9.58
Albania,1999,35-54 years,7.93
Albania,1999,25-34 years,7.84
Albania,1999,55-74 years,7.56
Albania,1999,5-14 years,0.0
Albania,2000,25-34 years,7.33
Albania,2000,55-74 years,5.64
Albania,2000,75+ years,4.02
Albania,2000,15-24 years,2.08
Albania,2000,35-54 years,1.07
Albania,2000,5-14 years,0.27
Albania,2001,25-34 years,10.65
Albania,2001,35-54 years,8.98
Albania,2001,55-74 years,5.59
Albania,2001,15-24 years,3.91
Albania,2001,75+ years,3.22
Albania,2001,5-14 years,1.87
Albania,2002,75+ years,12.9
Albania,2002,25-34 years,11.15
Albania,2002,35-54 years,9.16
Albania,2002,55-74 years,6.56
Albania,2002,15-24 years,5.7
Albania,2002,5-14 years,0.31
Albania,2003,55-74 years,7.94
Albania,2003,35-54 years,7.25
Albania,2003,15-24 years,5.49
Albania,2003,25-34 years,4.38
Albania,2003,75+ years,3.06
Albania,2003,5-14 years,1.28
Albania,2004,75+ years,11.26
Albania,2004,35-54 years,9.95
Albania,2004,25-34 years,7.85
Albania,2004,15-24 years,6.63
Albania,2004,55-74 years,4.83
Albania,2004,5-14 years,0.33
Albania,2005,15-24 years,0.0
Albania,2005,25-34 years,0.0
Albania,2005,35-54 years,0.0
Albania,2005,5-14 years,0.0
Albania,2005,55-74 years,0.0
